//
// List of reserved names for heroes.
//
// name:authname
//

brucifer        : bruce
MaximusCranius  : MaxCranius00
EvilGeko        : geko
Azurea Mistress : amcnair13
Zig             : jzigish
Baal Rog        : Niika
Wraith          : Wraith515
Hunter          : Zinc
Steamedbrocoli  : Steamedbroco
Trenchant       : Estrellex01
Ravenshadow     : wrathx
Panda           : Mardin
Atemi           : Celondon
Necromancer     : gtuffli
Taskmaster      : rhigbee
Maldris         : Kunoh
Bad Butterfly   : jkalmes
VeirdBeard      : windshei
Evil            : WUG
Ewe             : jyoo1
Running Wild    : jtw10
Dr. Thunder     : kenaneu001
Loucifer        : Weezner2001
Born to Kill    : mkalmes
EvilSuperMartin : martin
Dread           : Fook
Professor Chaos : MMiller
Dr Incogitable  : MWoomer
Contemptress    : Miskela
Paradox         : Miskela
Professor Pain  : Dagaur
Deadlock        : nmelville
Lustlure        : Nellihughes
Captain Obvious : Tumerboy
Arkayne         : Luthyr
Almighty Fork   : raoulvp
King Scorpion   : ninjaray
EnterNameHere   : gerbelt
Doctor Eel      : Samuelt23
Blight          : Manticore
Quicksilver     : Radres
CrazyToon       : CrazyToon
Croaker         : legioXX
HellBound       : BiuJi
Lady of Pain    : zcook
Wendigo         : ZekeZero
Dark Panda      : Mardin
Tic-Toc         : Ruffiana

