//
// List of reserved names for NCsoft employees.
//
// name:authname
//

47th Ronin           : rorin47
Agent Smith          : jeremyrobins
Anne Thrax           : abruncke
Arsenal              : gunner10
Aura Manning         : amanning
Bakura               : mzupan
Blanarche            : SHarris
Burner               : soulscrm
Capt. Austin         : flynn666
Chunks               : ttan
CodeWeasel           : CodeWeasel
CURRENT EVENT        : psage
Darkwing             : darkwing
Dr. Death            : Redskull
Epiphany             : NCSoftChelle
Eskimo               : Tisirin
Evening Star         : racerx
Fenix                : dechire
Festus               : pjwagner
Firecracker          : rpratt
Firefly              : Madoka
Flyer                : rgarriott
Foxfire              : apeters
Gaffer               : Gaffer
Gloom                : pfreese
Grail                : joemad
Guido                : rholtrop1
gump                 : deforest
Heimdall             : pteague
Hosstile             : halftone
Ice                  : magic180
Ice Age              : Kabral
Incognito            : jmaltzen
Inferno              : Kirreia
Iron Maiden          : IronMaiden
James                : jparkman
Jex                  : Kallisto
jobe29               : Jobe
Johnny 6             : mgrajeda
Kal                  : jhw311
Kiesa Wren           : sthompson
Lord British         : ragarriott
Lucky Harms          : Dsaleh
Medevac              : ncchris01
MisterPunch          : johncboins
Monkey King          : dliggio
Morning Star         : GrajedaJ
Neeby                : Lena
Neko                 : Monk000
Nemen                : PhieldsGM
NightBird            : Corvus004
NULL Pointer         : audball
Nynne                : sylviamerric
Ozone                : gbarwis
Pigpen               : csivori1
Prozac               : Matsaleh
Punchy               : Punchy30
Robin Graves         : sgreen
Rock                 : johngm
Schizm               : Schizm
Sha’lea              : molgin21
Shadow               : SkiCatTX
Shaiden              : hope
Sinistar             : jash1
Snooze               : ttoida
Soulslinger          : amontobi
Spectra              : Spectra
spicy mchagus        : lilmic33
Spriggan             : mharris
Sprockette           : Susan
Ssendam              : cstrasz
Stagger Lee          : downtime
StarDot              : ds8187
Sue                  : dbetsinger
Super Moogle         : grim17
Swiftbolt            : devon2000
Tanuki               : delan
Tempest              : rsimpson
Thorn                : TestMonkey
TokyoAcid            : Novha
TopFlite             : TopFlite
Viral Influenza      : HaanJr 
Warrior              : peacefulW
Wonk                 : CowEyeball
Wraith               : budkin76
Xenophobe            : Vaxhacker
Yojimbo              : Strangelove
