//
// List of reserved names for heroes.
//
// name:authname
//

Bishop          : cbennett
Brassman        : Zinc
Buff            : jkalmes
Chickenhead Joe : sstacy
Constellation   : Briareos
CrossCheck      : bclayton
Dreadnaught     : Fook
Elite           : MMiller
Fia             : Amy112
geko            : geko
GibsonSG        : gibsonsg
Headcase        : kyoung
Hoplite         : Statesman
Jaeden          : Jaeden
Kublai          : mkalmes
Maelstrom       : manticore
Michi           : natestephens
Miscreant       : Mwoomer
Pandagirl       : Mardin
Paradox         : Miskela
poz             : poz
Valkrynn        : kunoh
Warthog         : poz
Wasteland       : WastelandPNC
WrathX          : WrathX
Wug             : WUG
Zero            : Sutton
Ziana           : Jeff

// Special named with special internal meaning
nothing
empty
